Name,Type,Cost Disaster,Cost Virus,Biome,Population,Traits,Description,Card Status,Supply,Image,IsExtinction,
Flood,Catastrophe,,,,,,Have exactly 4 \Gene.,x,1,Catastrophe,,Destroy a species with 1+ Red \Gene and no Black \Gene.
Invasive Predators,Catastrophe,,,,,,Have only Black \Gene.,x,1,Catastrophe,,
Harsh Winter,Catastrophe,,,,,,Have exactly 1 \Trait and no Blue \Gene.,x,1,Catastrophe,,
Heat Wave,Catastrophe,,,,,,Have 4+ Black \Gene and no Blue \Gene.,x,1,Catastrophe,,"Destroy a species with 1+ Red \Gene, 1+ Blue \Gene and 2+ Black \Gene."
Famine,Catastrophe,,,,,,Have 5 or less \Gene and 3+ Black \Gene.,x,1,Catastrophe,,
Drought,Catastrophe,,,,,,Have no \Gene.,x,1,Catastrophe,,Destroy a species with 1+ Red \Gene and 2 Blue \Gene.
Forest Fire,Catastrophe,,,,,,Have total \Gene value between 3 and 6.,x,1,Catastrophe,,Destroy a species with 5+ Black \Gene.
Epidemic,Catastrophe,,,,,,Have total \Trait value of 5+.,x,1,Catastrophe,,Destroy a species with 4+ Blue \Gene.
Tornado,Catastrophe,,,,,,Have only Purple \Gene.,x,1,Catastrophe,,Destroy a species with 2+ Purple \Gene.
Hurricane,Catastrophe,,,,,,Have only Red \Gene.,x,1,Catastrophe,,Destroy a species with 1+ Red \Gene and 1+ Purple \Gene.
Extinction1,Extinction,,,,,,Have 2+ \Trait.,x,1,Extinction,,
Extinction2,Extinction,,,,,,Have more Purple \Gene than any other color.,x,1,Extinction,,
Extinction3,Extinction,,,,,,Have less than 6 \Gene and 3+ Blue \Gene.,x,1,Extinction,,
Extinction4,Extinction,,,,,,Have 2+ Red \Gene and 3+ Black \Gene.,x,1,Extinction,,
Desert,Goal,,,,,,Have exactly 2 Red \Gene and no other \Gene.,,1,Goal,,
Tundra,Goal,,,,,,Have exactly 1 Red \Gene and 7+ Black \Gene.,,1,Goal,,
Jungle,Goal,,,,,,Have 2+ Red \Gene and less than 3 Blue \Gene.,,1,Goal,,
Marsh,Goal,,,,,,Have exactly 1 Red \Gene and 2+ \Trait.,,1,Goal,,
Rainforest,Goal,,,,,,Have exactly 1 Red \Gene and 2 Purple \Gene.,,1,Goal,,
Savannah,Goal,,,,,,Have 3+ species each with 1+ \Trait.,,1,Goal,,
Prairie,Goal,,,,,,Have a species with 1+ Red \Gene and 2+ Purple \Gene.,,1,Goal,,
Tide Pool,Goal,,,,,,Have a species with 6+ Blue \Gene and no Black \Gene.,,1,Goal,,
Grassland,Goal,,,,,,Have 1 species with 3+ \Trait.,,1,Goal,,
Mountain,Goal,,,,,,Have a species with 1+ Red \Gene and 4+ Blue \Gene.,,1,Goal,,
Hills,Goal,,,,,,Have a species with no \Gene.,,1,Goal,,
Ocean,Goal,,,,,,Have a species with 2+ Purple \Gene and no Blue \Gene.,,1,Goal,,
Coral Reef,Goal,,,,,,Have a speceis with 9+ \Gene of one color.,,1,Goal,,
Volcano,Goal,,,,,,Have a species with Total value of \Trait 5+.,,1,Goal,,
Arctic,Goal,,,,,,Have a species with Total value of \Gene 8+.,,1,Goal,,
Trigger Extinction,Extinction,,,,,,Resolve the top card of the Extinction deck.,x,4,Extinction,,
